Gene;GDI;;;
LIMK1;2,14000418;;;
SSR4;2,139920883;;;
RNF213;2,139427673;;;
SRM;2,138885577;;;
FBXW5;2,137679511;;;
CLEC11A;2,137478222;;;
THEM4;2,136860065;;;
HMGN2;2,136634156;;;
ERGIC3;2,136285263;;;
DDX21;2,135931755;;;
SCML4;2,135925853;;;
TMPO;2,135512905;;;
LYRM4;2,135378096;;;
KRTCAP2;2,134906624;;;
SOCS1;2,134903062;;;
MRPS28;2,134563648;;;
FAM192A;2,133632911;;;
CITED4;2,133351055;;;
TMEM110;2,132879964;;;
IFT20;2,132830914;;;
HAGH;2,132793261;;;
IRAK1;2,131938138;;;
MRPL14;2,131098209;;;
MEF2BNB;2,130775899;;;
RPN1;2,130711012;;;
HMGB2;2,130701254;;;
MRPL11;2,130225424;;;
MT-CO2;2,130220895;;;
COMMD1;2,130150996;;;
EWSR1;2,129705588;;;
ZBTB7A;2,129265843;;;
UBE2E3;2,129244669;;;
CITED2;2,129176371;;;
MRPL40;2,129120023;;;
MRPS14;2,128345376;;;
HNRNPC;2,128043117;;;
ZSWIM7;2,127601656;;;
NABP2;2,127536272;;;
SIAH2;2,127005652;;;
RAB2A;2,126707412;;;
RBCK1;2,126688143;;;
ITGB1;2,126537224;;;
ARPC1A;2,126367527;;;
KLHL5;2,125554886;;;
GPR114;2,125388286;;;
ZMAT5;2,125130251;;;
TAF10;2,124552702;;;
HMG20B;2,124301505;;;
PQLC1;2,124044694;;;
SNRNP70;2,124009167;;;
COMMD8;2,123784233;;;
FCRL3;2,123168035;;;
RNASEH2B;2,122669348;;;
WDR81;2,121533256;;;
DIAPH1;2,121154019;;;
NDUFC1;2,120677707;;;
PTPN12;2,120545626;;;
MT-CO1;2,119911075;;;
GRAMD1A;2,119738525;;;
EBP;2,119670501;;;
ABHD14A;2,119609825;;;
GADD45GIP1;2,119588333;;;
PCBP1;2,119509558;;;
EIF1;2,119502193;;;
DENND5A;2,119334883;;;
ALYREF;2,119268608;;;
FHL1;2,11921783;;;
TRIM38;2,119191722;;;
H2AFV;2,118492936;;;
PXN;2,117593089;;;
USMG5;2,117236448;;;
BRD2;2,117075162;;;
ZFYVE21;2,116932568;;;
TOMM20;2,116631357;;;
RP13-977J11,2;2,116143267;;;
RBM42;2,115888051;;;
SUMO3;2,115380274;;;
RMI2;2,114785391;;;
C19orf66;2,11477279;;;
MANBA;2,114670432;;;
SLC39A1;2,114659258;;;
MPZL1;2,114238918;;;
PPP1R7;2,113433308;;;
NECAP2;2,113015192;;;
EIF3A;2,112829762;;;
CHD3;2,111906584;;;
ODF2L;2,111872702;;;
EXOSC5;2,109879034;;;
SF3B2;2,109814505;;;
EIF3B;2,109277701;;;
POP4;2,108451944;;;
CDK5RAP3;2,108422892;;;
RALBP1;2,10822334;;;
FEN1;2,108040527;;;
ARL4A;2,107576148;;;
BEND5;2,10756594;;;
OTUD1;2,107457775;;;
IQSEC1;2,107382891;;;
CCNL1;2,107273246;;;
PITPNM1;2,106949689;;;
MRPL55;2,106798866;;;
ABHD5;2,106602213;;;
ZNF101;2,106580602;;;
SF1;2,106145323;;;
COMMD7;2,105991412;;;
SNRPE;2,105058882;;;
SLTM;2,104878393;;;
SYNE1;2,104830266;;;
MRPL20;2,104656892;;;
NOL7;2,103965706;;;
COPS6;2,103264327;;;
PITPNA-AS1;2,102860457;;;
ADD1;2,102806288;;;
TRAPPC5;2,10239989;;;
TAF1D;2,102212758;;;
USB1;2,101619448;;;
NOG;2,101517507;;;
NME3;2,101425516;;;
MNT;2,099612675;;;
AHR;2,099092287;;;
SMC2;2,098769921;;;
C9orf16;2,098580481;;;
RP11-305L7,1;2,098057888;;;
NFYC;2,09770231;;;
PHB;2,097481251;;;
NDUFB9;2,096788521;;;
SDF4;2,096189528;;;
SNHG15;2,096185868;;;
RNF167;2,096024024;;;
GCNT1;2,095875555;;;
ZNF428;2,09559552;;;
RASGRP3;2,095255313;;;
CCDC57;2,09511929;;;
MAD2L1;2,094789071;;;
PSMG2;2,094575477;;;
PICALM;2,094514643;;;
FTL;2,094010127;;;
ZNF511;2,093719188;;;
MED8;2,092127987;;;
MRPS15;2,092101935;;;
PPM1K;2,092090703;;;
RP11-47L3,1;2,091556073;;;
MPHOSPH8;2,090684284;;;
GIMAP2;2,090427872;;;
CDC42SE2;2,089597825;;;
DHRS7B;2,089508878;;;
C19orf53;2,089339287;;;
ATP6V0A1;2,08904282;;;
XAF1;2,089018236;;;
CLEC2B;2,088690934;;;
FAM107B;2,088672901;;;
AP1S1;2,088599819;;;
BCL2L1;2,088448976;;;
PDZD11;2,088303472;;;
CCDC112;2,088187715;;;
DESI1;2,08702448;;;
HLA-B;2,086841495;;;
TMEM189;2,08663112;;;
IL17RA;2,086337283;;;
TRAF7;2,086336195;;;
MORF4L1;2,086162976;;;
HNRNPF;2,085944678;;;
PAICS;2,085105466;;;
ORAI2;2,084465029;;;
CALCOCO2;2,084099675;;;
GPAA1;2,083939972;;;
TSC22D4;2,083934863;;;
WBP2;2,083604188;;;
NDUFA9;2,083271438;;;
TSPAN3;2,083008435;;;
STUB1;2,082123108;;;
SDHC;2,082094462;;;
ARID5B;2,081946905;;;
UBE2T;2,081818962;;;
CLCN7;2,081812078;;;
NSA2;2,081391479;;;
TRAF4;2,081132766;;;
TMEM63A;2,080167589;;;
RP11-802E16,3;2,079776858;;;
ECE2;2,079643442;;;
KIF5B;2,079593725;;;
PDGFD;2,079579043;;;
VCP;2,079293993;;;
SNAPIN;2,078350574;;;
CRTAP;2,078108534;;;
RASA3;2,076624102;;;
TMEM14B;2,076437712;;;
RNF125;2,076017113;;;
NCKAP5L;2,075785845;;;
CPNE2;2,075647666;;;
OSBPL8;2,075591603;;;
PITPNA;2,075540365;;;
NDUFV1;2,075155952;;;
HNRNPK;2,074488975;;;
SLC2A4RG;2,074039513;;;
CDKN1B;2,07396392;;;
DPM2;2,072528898;;;
C17orf49;2,071728874;;;
HAUS1;2,070883899;;;
PPCS;2,070856908;;;
CMTM8;2,070744988;;;
NUCB1;2,070571788;;;
BABAM1;2,070549011;;;
RP11-295G20,2;2,070500927;;;
BCL7A;2,070311502;;;
DOCK8;2,070058931;;;
BCL3;2,069970122;;;
RFC2;2,069856306;;;
OSER1;2,06906217;;;
MAN2A2;2,06867377;;;
CANX;2,068067079;;;
DDX46;2,068002605;;;
ADPGK;2,067967233;;;
BEX4;2,067644588;;;
PDE7A;2,06719737;;;
APIP;2,067189697;;;
SUMO1;2,066796868;;;
DDX18;2,066741532;;;
CCR6;2,066720222;;;
ATP6AP2;2,065766243;;;
CPQ;2,065738207;;;
UQCRC2;2,064969365;;;
SAR1A;2,064810773;;;
CLN8;2,064679933;;;
KIAA2013;2,064473297;;;
MRPS7;2,064402437;;;
TMEM173;2,06431983;;;
DCXR;2,064240336;;;
RBM23;2,063959726;;;
PANK2;2,063890993;;;
MOAP1;2,063817216;;;
TUBG1;2,062651061;;;
SMUG1;2,062294744;;;
SERINC5;2,062146974;;;
EIF2A;2,061636072;;;
SAC3D1;2,06159887;;;
CASP9;2,06144259;;;
PTPMT1;2,060749329;;;
TXNDC15;2,060221675;;;
ALDOC;2,060167603;;;
PRKAR1A;2,060142042;;;
RPL26L1;2,060072302;;;
UBALD1;2,059855566;;;
MAP4K1;2,059733856;;;
RPS27L;2,059307993;;;
VAPA;2,058120683;;;
RAB9A;2,057845539;;;
RAP1GAP2;2,057743553;;;
KRT10;2,057558032;;;
HDDC2;2,057490061;;;
GBP5;2,057150005;;;
MID1IP1;2,056703552;;;
NUDCD3;2,056401735;;;
CMC1;2,056071765;;;
STAG3;2,056067625;;;
REC8;2,055925384;;;
TNK2;2,055696714;;;
TMEM11;2,055437386;;;
KIR2DL3;2,055089279;;;
NMRK1;2,055048404;;;
ABHD11;2,054875252;;;
EIF5;2,054472988;;;
FAM65B;2,054427106;;;
MRPL47;2,053502215;;;
ACO2;2,053269955;;;
MOB3A;2,053042034;;;
PFDN6;2,052705165;;;
HIST1H4C;2,051523067;;;
KDM4B;2,051209199;;;
MAX;2,051013284;;;
PSMC5;2,050951785;;;
HNRNPH2;2,050355392;;;
RTP4;2,049469216;;;
TTC3;2,049356823;;;
A1BG;2,049319914;;;
PLEKHM2;2,048764962;;;
SMIM7;2,04747074;;;
NRM;2,047142766;;;
EHD1;2,047065145;;;
ETHE1;2,046920721;;;
RPE;2,045576828;;;
TUBB;2,045478393;;;
RPS6KB2;2,045424274;;;
MAT2A;2,045367645;;;
RTFDC1;2,045200035;;;
LSM2;2,044807772;;;
PLEKHG3;2,044364842;;;
DHRS4;2,044343999;;;
VTI1B;2,042316435;;;
CACYBP;2,041876771;;;
ELOVL5;2,041588659;;;
DSE;2,040803005;;;
SNX4;2,040458592;;;
OFD1;2,040402574;;;
HNRNPM;2,040066377;;;
SLC50A1;2,040056282;;;
SLC30A1;2,039953663;;;
TGOLN2;2,03973869;;;
UBE2S;2,039578273;;;
SH2D3A;2,039575537;;;
APOBEC3H;2,038984953;;;
R3HDM4;2,037946833;;;
TMEM102;2,037805634;;;
IAH1;2,037426435;;;
RHEB;2,037081657;;;
TRAPPC2L;2,036645123;;;
MTFR1L;2,036440483;;;
PAIP2;2,036311547;;;
RUVBL2;2,036157203;;;
IDS;2,035859923;;;
TRAK1;2,0358152;;;
ADCY7;2,035666925;;;
CKAP2;2,035555543;;;
CYSLTR1;2,035250437;;;
EBNA1BP2;2,035124351;;;
TMEM109;2,034730843;;;
ANO6;2,034373163;;;
STAT3;2,033836817;;;
SERPINE2;2,033624359;;;
FXYD7;2,03305251;;;
GCHFR;2,032886346;;;
MRPS22;2,032454982;;;
LMNB1;2,032442919;;;
INPPL1;2,032245505;;;
MRPS11;2,032240892;;;
XXbac-BPG299F13,17;2,031997966;;;
PEPD;2,031628757;;;
SDF2;2,031615643;;;
ATP2A3;2,031464505;;;
IMP4;2,031275389;;;
SPCS1;2,030887591;;;
CD200;2,030773346;;;
EIF1AD;2,030418716;;;
IPCEF1;2,030265421;;;
SSH2;2,03021755;;;
C21orf33;2,030088893;;;
PRKAR1B;2,02959631;;;
BZW2;2,029575798;;;
FURIN;2,029305167;;;
UFD1L;2,028728112;;;
HCFC1R1;2,028721979;;;
CTLA4;2,026924997;;;
FANK1;2,026498597;;;
ABLIM1;2,026447106;;;
STX12;2,026295427;;;
NDUFB6;2,026098295;;;
ATXN10;2,026041312;;;
PAFAH1B3;2,025864341;;;
C12orf65;2,025827019;;;
UXS1;2,025764082;;;
SEPW1;2,025751992;;;
RAB1A;2,025567447;;;
HENMT1;2,025151533;;;
CHCHD3;2,025096947;;;
SLC22A18;2,025038108;;;
MGME1;2,025032717;;;
SLC19A1;2,025022574;;;
NUDT8;2,024963686;;;
CHKA;2,024681488;;;
EVA1B;2,023808602;;;
NIT2;2,023477813;;;
UBQLN2;2,023307146;;;
FCHO1;2,0231792;;;
RNF114;2,022811952;;;
DAZAP2;2,022700703;;;
AP003733,1;2,022224271;;;
MYO15B;2,022126743;;;
RBM39;2,021943181;;;
BAIAP2;2,021905378;;;
CNR2;2,021877682;;;
ITGB1BP1;2,021798881;;;
SELK;2,021305475;;;
SLC25A4;2,02105184;;;
LINC00493;2,020922389;;;
TMEM175;2,020905738;;;
ZFP36L1;2,020421262;;;
GUCD1;2,020156252;;;
GGA2;2,019426004;;;
TMED5;2,019369301;;;
CSNK1G2;2,019238251;;;
TM9SF4;2,0190674;;;
RABGGTA;2,018920773;;;
BUB3;2,018798052;;;
MRPS21;2,018542412;;;
CELF1;2,018537424;;;
SSU72;2,018398969;;;
XXcos-LUCA11,4;2,018126681;;;
UQCC2;2,01797667;;;
CHMP2B;2,017851151;;;
USP28;2,017673236;;;
CYLD;2,016930865;;;
FBXL15;2,01662667;;;
TIMMDC1;2,015779422;;;
HEBP2;2,015580789;;;
CEP63;2,015411955;;;
FAM118B;2,015013865;;;
SNRPF;2,014613778;;;
RCC2;2,014163883;;;
AIP;2,013774111;;;
CTD-2186M15,3;2,013655401;;;
HSCB;2,013623968;;;
WDR11;2,01306967;;;
TRAPPC3;2,012710672;;;
RUFY3;2,012376874;;;
CRBN;2,012288572;;;
LYSMD2;2,01212578;;;
LPGAT1;2,011918511;;;
GRAMD4;2,011854758;;;
MAPKAPK5-AS1;2,011833521;;;
RBL2;2,011457925;;;
PLD3;2,011008979;;;
LSR;2,01088431;;;
TANK;2,010823136;;;
ACOT8;2,01068738;;;
YKT6;2,010464077;;;
ITGA4;2,00889552;;;
DCTN2;2,008593763;;;
CCT3;2,008406159;;;
ST3GAL1;2,008275147;;;
TMED10;2,007715304;;;
ICT1;2,007529461;;;
VOPP1;2,00732536;;;
RP1-313I6,12;2,007313112;;;
FAM58A;2,007186512;;;
PSTPIP1;2,006858106;;;
ACAT1;2,006757146;;;
SYF2;2,006591432;;;
KDELR1;2,005106596;;;
MLH3;2,005020269;;;
IFI27L1;2,004984919;;;
ARHGAP25;2,004405876;;;
PGM2;2,004020748;;;
UBA1;2,003707112;;;
HSD17B11;2,003660069;;;
HADHA;2,003292956;;;
JAKMIP1;2,00243494;;;
RSL24D1;2,001812553;;;
CSDE1;2,001602295;;;
C16orf13;2,001576147;;;
FBLN7;2,001514268;;;
C4orf3;2,001039493;;;
ITGAE;2,000898532;;;
SSB;2,000877604;;;
PLEKHF2;2,000375247;;;
TACC3;2,000003257;;;
MEF2A;1,999761271;;;
MRPS5;1,999741216;;;
ZCCHC17;1,999725389;;;
EXOSC9;1,999262591;;;
CTD-2228K2,5;1,998996064;;;
SF3B14;1,998713703;;;
PLEKHA1;1,998708973;;;
ATPIF1;1,998697891;;;
PRAF2;1,998341925;;;
SNW1;1,9983025;;;
SLC25A33;1,998298598;;;
TMEM141;1,997837867;;;
EMC8;1,99739689;;;
RP11-262H14,4;1,997129115;;;
PTK2B;1,996682523;;;
SERBP1;1,996258189;;;
NR1H2;1,99526151;;;
FRG1;1,995163084;;;
MRPS18C;1,995119661;;;
MYADM;1,994779968;;;
CRLF3;1,994353622;;;
YWHAZ;1,993883188;;;
IGFBP6;1,993560756;;;
SEP15;1,993226273;;;
KLHL18;1,993084058;;;
PRMT1;1,991867693;;;
C11orf24;1,991568488;;;
HSBP1L1;1,991406919;;;
PADI4;1,990767694;;;
ZBTB7B;1,990715632;;;
MAP2K2;1,990461128;;;
CHD2;1,990420109;;;
PDHA1;1,990248022;;;
SLC25A20;1,989698024;;;
H2AFX;1,989645654;;;
PXK;1,988992626;;;
FRAT2;1,988861489;;;
CLDND1;1,988308874;;;
EGLN2;1,98772282;;;
STK11IP;1,987653716;;;
ATF7IP2;1,986765704;;;
ITGA6;1,986742778;;;
INPP5F;1,986240498;;;
PXMP4;1,98620313;;;
ANKRD12;1,985994941;;;
SRSF7;1,985971961;;;
PSMD3;1,985534855;;;
CKAP4;1,985381098;;;
DEXI;1,984858631;;;
SVIL;1,984845892;;;
TFDP1;1,984823166;;;
GOSR2;1,984345212;;;
C19orf24;1,984295276;;;
CHMP3;1,984222308;;;
RBBP6;1,983939567;;;
RGS9;1,983790759;;;
TNFRSF14;1,982665733;;;
RP4-728D4,2;1,982441214;;;
KHDRBS1;1,982193183;;;
ZBP1;1,982120543;;;
CAPN12;1,98166844;;;
OLFM2;1,981159279;;;
IL15;1,98112961;;;
RPP25;1,981005046;;;
HDAC5;1,980380803;;;
EDEM2;1,98031112;;;
MAN2B1;1,980034296;;;
C10orf35;1,979828392;;;
TMEM156;1,979805231;;;
PAPSS1;1,979770688;;;
MRPL21;1,979524067;;;
RAB11B;1,979389828;;;
STX8;1,978879217;;;
RNASEK;1,978695589;;;
TMBIM1;1,978610618;;;
ATG9B;1,97844355;;;
ECHDC1;1,977776436;;;
MAF1;1,977472366;;;
STOML2;1,977372483;;;
TMX4;1,977191867;;;
PIH1D1;1,977157862;;;
FAS;1,977074954;;;
CHP1;1,977029233;;;
DNAJC19;1,976923435;;;
FDPS;1,976545432;;;
SLC3A2;1,976543103;;;
HEXA;1,976485992;;;
NTMT1;1,976196732;;;
SSFA2;1,975942059;;;
UBXN4;1,975759176;;;
PCCB;1,975514761;;;
MLLT3;1,975382881;;;
MRPL22;1,974405778;;;
COX16;1,974305277;;;
PILRB;1,974105858;;;
KLF3;1,974007364;;;
DERL1;1,973530967;;;
TSR2;1,973138679;;;
ZNF524;1,97294512;;;
LAGE3;1,972772815;;;
CHMP1B;1,972695102;;;
CXCR5;1,97209048;;;
MXD1;1,971946587;;;
RPP25L;1,971902481;;;
SPPL2A;1,971782131;;;
ZNF276;1,971401841;;;
CCT4;1,971184434;;;
VAV1;1,971110897;;;
EPB41L2;1,971069843;;;
GPI;1,971018246;;;
MRPS18B;1,970957484;;;
KRTCAP3;1,970855692;;;
SCFD1;1,970756489;;;
MED25;1,97057154;;;
MPRIP;1,969928155;;;
TMEM33;1,969810092;;;
SAMSN1;1,969703957;;;
TRIP6;1,969672231;;;
SMARCD2;1,969609669;;;
THEMIS;1,969435428;;;
IVD;1,969078915;;;
PACS2;1,968841156;;;
AGPAT1;1,968338974;;;
CCS;1,968202435;;;
XRCC6;1,968053017;;;
FAR1;1,967904345;;;
DAD1;1,967770707;;;
FAM162A;1,967652018;;;
TCEA1;1,967560882;;;
RP11-403I13,8;1,967556;;;
KIAA0141;1,967213723;;;
RB1;1,967153645;;;
PERP;1,966763777;;;
ITSN2;1,966375074;;;
RHOBTB3;1,965524941;;;
IQCE;1,965379133;;;
KIAA1430;1,965308187;;;
RNF24;1,964947648;;;
PTPN1;1,964911793;;;
XRN2;1,964507271;;;
ACSS2;1,964332329;;;
CMIP;1,964268889;;;
HTATIP2;1,964223006;;;
C16orf87;1,964153343;;;
NXF1;1,96392487;;;
ZFAND1;1,963589742;;;
SEC61G;1,963175689;;;
RABIF;1,963050006;;;
CTBP1;1,963049592;;;
HNRNPU;1,962961778;;;
TAP1;1,962569968;;;
ING2;1,962294112;;;
WDR4;1,961991574;;;
HIST1H1B;1,961925576;;;
TLE4;1,961726908;;;
TMEM199;1,961487856;;;
ANAPC15;1,960878958;;;
GBP1;1,960802737;;;
CDC16;1,960504241;;;
SON;1,960465551;;;
C1orf63;1,960180004;;;
MB21D1;1,960151531;;;
FDX1;1,960133551;;;
DAP3;1,960056084;;;
THRAP3;1,959896707;;;
FAM46C;1,959810297;;;
POR;1,959461898;;;
LTA;1,959154634;;;
STAT2;1,9591359;;;
GALE;1,959086884;;;
VRK2;1,957969114;;;
WDR13;1,957556043;;;
GADD45A;1,957152454;;;
TMED2;1,957110613;;;
TMLHE;1,957054255;;;
PTGES2;1,956839242;;;
DDX39A;1,956829061;;;
TMEM140;1,956796931;;;
TBC1D1;1,956346666;;;
MRPL36;1,956269679;;;
RNF138;1,955329184;;;
SLC38A10;1,955172528;;;
THG1L;1,954561788;;;
ADAR;1,954496866;;;
TMCO1;1,954429725;;;
ATP13A1;1,953937217;;;
GGCX;1,953429206;;;
METTL21A;1,953196318;;;
GGA1;1,953185432;;;
MTCH1;1,95309867;;;
HNRNPA3;1,953071171;;;
ZNF667-AS1;1,952993006;;;
CINP;1,952858856;;;
HAUS4;1,952572684;;;
FAM43A;1,95243241;;;
DNM2;1,952425084;;;
DTYMK;1,952398066;;;
PPP1R12C;1,951844424;;;
LIMS2;1,951616632;;;
HAX1;1,950779968;;;
EIF4G2;1,95071638;;;
NFKBIB;1,950480418;;;
LIMD1;1,950102167;;;
RBM38;1,949417855;;;
RIPK2;1,949341322;;;
EIF5A;1,949254605;;;
CEP170;1,948726131;;;
GSK3A;1,948664068;;;
TRAM1;1,948331649;;;
SLC44A2;1,947978982;;;
ZCRB1;1,947967631;;;
CCNG2;1,947865786;;;
KCNAB2;1,947823935;;;
IMP3;1,947480174;;;
HPRT1;1,947167904;;;
EXOG;1,947132416;;;
APH1A;1,947124577;;;
SSR1;1,946986919;;;
ELOF1;1,946681056;;;
PDCD6IP;1,946646885;;;
KMT2E;1,946512164;;;
SMC6;1,946329383;;;
SET;1,946272119;;;
DEGS1;1,946079282;;;
CTA-217C2,1;1,946020229;;;
EIF1B;1,946016183;;;
RP5-1028K7,2;1,945799392;;;
NMT2;1,945518595;;;
CTDSP1;1,945302376;;;
RPN2;1,944984388;;;
HPGD;1,944814295;;;
RSBN1;1,94447285;;;
BCAP29;1,944047776;;;
RAB18;1,943995395;;;
SFXN5;1,943809374;;;
PPM1G;1,943252656;;;
HGSNAT;1,943155228;;;
DYNLT3;1,943117158;;;
PI16;1,943113398;;;
MMADHC;1,942992661;;;
BAD;1,942762361;;;
CPNE3;1,942343981;;;
ATRAID;1,942278439;;;
TIFA;1,941311367;;;
UQCRB;1,941144017;;;
AGMAT;1,940856074;;;
TP53I11;1,940640858;;;
CCDC106;1,940539637;;;
ZNF775;1,939759656;;;
MROH6;1,939377145;;;
VPS37B;1,939182017;;;
WDR18;1,939028323;;;
MRPL3;1,938569188;;;
NASP;1,938406213;;;
LYPD3;1,937998268;;;
BHLHE40;1,937211995;;;
TEN1;1,9371585;;;
ZSCAN18;1,936895411;;;
VPS51;1,93681253;;;
ATP11A;1,936756215;;;
METTL22;1,936423113;;;
PRPS1;1,936184364;;;
MAST3;1,935865008;;;
AP4M1;1,935796995;;;
TCP1;1,935510011;;;
RHOF;1,933891134;;;
TBC1D10B;1,933879751;;;
MPV17;1,933839094;;;
ARL8A;1,933731099;;;
ME2;1,933350967;;;
UGP2;1,933087947;;;
GPR160;1,933052635;;;
ARHGEF12;1,932767867;;;
SRP9;1,932014418;;;
NAE1;1,931992737;;;
PSMD13;1,931950834;;;
CNP;1,931704589;;;
WAC-AS1;1,931679482;;;
C1orf123;1,931597075;;;
MCTS1;1,931063932;;;
DPP7;1,931044123;;;
GCSAM;1,930592644;;;
HIGD1A;1,930196742;;;
SCAMP4;1,930036747;;;
POLD3;1,929879155;;;
ACSL5;1,929861713;;;
PIGX;1,929838609;;;
AIFM1;1,929486973;;;
GLRX2;1,929009913;;;
DARS;1,928888872;;;
NR4A2;1,92886299;;;
FAM204A;1,928586509;;;
NRD1;1,928550866;;;
PCSK7;1,927974671;;;
CCDC6;1,927448177;;;
TRAPPC6A;1,92692972;;;
BACH2;1,926588823;;;
AC006369,2;1,926565677;;;
NUP93;1,926276706;;;
IFI6;1,926272047;;;
MFNG;1,926265567;;;
TEX264;1,92581665;;;
AGAP3;1,925754172;;;
CUEDC2;1,925309768;;;
ANKRD11;1,925170329;;;
INF2;1,924749062;;;
EMB;1,924574061;;;
CLN6;1,924423763;;;
NAA20;1,924048873;;;
DEDD2;1,924011905;;;
STX5;1,923651611;;;
RWDD1;1,92340584;;;
SLC4A10;1,922144711;;;
TICAM1;1,922095688;;;
TOM1;1,92157988;;;
CYTH1;1,921473203;;;
MRPS16;1,921124015;;;
HSPE1;1,92091603;;;
TNIP1;1,920845953;;;
RASSF5;1,92040321;;;
HEMGN;1,920246986;;;
TERF2IP;1,91971889;;;
BTF3L4;1,919571632;;;
DDX24;1,919287031;;;
ST20;1,919187504;;;
TRAPPC4;1,919057558;;;
SMKR1;1,919004924;;;
LRRFIP2;1,918936715;;;
FAM129A;1,91873246;;;
LINC00402;1,918667347;;;
UBAC2;1,918335776;;;
LSM3;1,918209005;;;
NCK2;1,918095025;;;
MPV17L2;1,917787137;;;
SLAMF1;1,917641631;;;
CCDC53;1,917562496;;;
DNASE2;1,917086259;;;
CCDC65;1,916967859;;;
PPP3CC;1,916702947;;;
IDH3B;1,916652776;;;
TLE3;1,916087366;;;
THOC6;1,915842799;;;
PIM3;1,915421202;;;
PGP;1,915417104;;;
COL4A3BP;1,915182806;;;
GTF2A2;1,915177952;;;
URM1;1,915175497;;;
JAZF1;1,914811951;;;
HIST1H1E;1,914742872;;;
PQBP1;1,914050525;;;
GSTM4;1,913962256;;;
POLR3GL;1,913804032;;;
PPP1R12A;1,913764762;;;
IL18BP;1,913411533;;;
ACYP2;1,913373479;;;
TOPORS-AS1;1,913079939;;;
TRA2B;1,91228907;;;
C11orf58;1,912006976;;;
STRA13;1,911975619;;;
RTF1;1,911949989;;;
RFXANK;1,911919563;;;
RFC4;1,911736654;;;
SP100;1,911564913;;;
C5orf15;1,911315625;;;
ENDOV;1,911187261;;;
PHTF2;1,911095791;;;
CWC15;1,911081061;;;
RCOR1;1,910159188;;;
IGSF8;1,910076345;;;
IL12RB1;1,910021681;;;
RNF5;1,909994822;;;
RP11-539L10,2;1,909882905;;;
ERV3-1;1,90962806;;;
LLGL2;1,909401612;;;
NAGPA;1,909003826;;;
TGFBR3;1,908854568;;;
CMPK2;1,908669124;;;
RPA3;1,908567728;;;
REG4;1,908472417;;;
DDRGK1;1,908311129;;;
MEAF6;1,908090218;;;
BACH1;1,908065987;;;
AC093673,5;1,908030203;;;
MBD4;1,907931532;;;
ARL6IP1;1,907847802;;;
ZNF22;1,907672484;;;
TMEM230;1,907559869;;;
NPRL2;1,907192971;;;
MED10;1,906899286;;;
MRFAP1;1,906800763;;;
DGCR6L;1,906541897;;;
DCK;1,906476323;;;
FLOT2;1,906463863;;;
ARF4;1,906029646;;;
SPSB3;1,905845963;;;
PPP2R1A;1,90577085;;;
RP11-94L15,2;1,905675138;;;
PTPLA;1,905638234;;;
CCDC88C;1,904341644;;;
MED29;1,904308567;;;
PYCR2;1,90420296;;;
DENND4B;1,904150423;;;
DTD1;1,904077857;;;
COQ7;1,903836945;;;
RNF11;1,903538082;;;
ARRDC2;1,903501983;;;
SSH1;1,903422102;;;
DNAJC3;1,903211192;;;
SAMD9L;1,903131062;;;
UBXN6;1,902974812;;;
EMC4;1,90287037;;;
NUDC;1,902848433;;;
ESD;1,902625528;;;
TET2;1,902543275;;;
RAB4A;1,90238841;;;
NSL1;1,902087841;;;
CLPP;1,902063194;;;
ACTA2;1,901894875;;;
DEF6;1,901218825;;;
CTBS;1,901207657;;;
NME2;1,900798832;;;
NOC2L;1,900751341;;;
OLA1;1,900323171;;;
KHSRP;1,900320175;;;
LETMD1;1,899767752;;;
ZMIZ2;1,899717742;;;
RRNAD1;1,899578145;;;
TMEM53;1,899514684;;;
SLC25A37;1,899318905;;;
ACOT13;1,899222293;;;
DTNBP1;1,89917161;;;
PPA2;1,89914134;;;
SFXN1;1,899087481;;;
ARGLU1;1,899086201;;;
ST8SIA4;1,899031028;;;
MEI1;1,898984389;;;
NEIL1;1,898715794;;;
AP3S1;1,898619799;;;
TFE3;1,897373524;;;
CNIH1;1,897337761;;;
NCALD;1,896776543;;;
TUBGCP2;1,896727914;;;
STRBP;1,896287364;;;
CA6;1,895241824;;;
COPS5;1,895066678;;;
RFK;1,894767965;;;
NEDD9;1,894410728;;;
FGD3;1,894357511;;;
GOLGA7;1,894113015;;;
INTS1;1,894075995;;;
NUDT16L1;1,894029394;;;
PLA2G12A;1,893945156;;;
GDE1;1,893781421;;;
PHKG2;1,893712095;;;
NSFL1C;1,893704465;;;
RFTN1;1,893568617;;;
PAPOLA;1,8933681;;;
GNPTG;1,893166995;;;
CSNK1D;1,892818483;;;
NCL;1,892532508;;;
ARAP2;1,892320183;;;
SLC35F6;1,891814065;;;
YY1;1,891635273;;;
EPC1;1,89154741;;;
PIN4;1,891482267;;;
TSPYL2;1,891369051;;;
MEST;1,89065117;;;
PQLC2;1,890571327;;;
GPX7;1,89030251;;;
PTGER4;1,889785365;;;
UNC13D;1,889438051;;;
VARS;1,888989521;;;
SRPK2;1,888371161;;;
GAK;1,888178919;;;
ZDHHC7;1,887524712;;;
CCM2;1,88722356;;;
ABR;1,886864758;;;
TMX1;1,886793928;;;
FTSJ2;1,886714051;;;
EBPL;1,885921247;;;
CCSER2;1,885888602;;;
GAMT;1,885486996;;;
TIMM9;1,885308143;;;
SNAPC3;1,885246118;;;
SIRT6;1,884926572;;;
GPR18;1,884640666;;;
ETF1;1,884632219;;;
